folio,deleg,id_guard,guard,esq,fecha_d,fecha_m,fecha_a,hr_ini_h,hr_ini_m,hr_fin_h,hr_fin_m,edad,rechab,sat1,solinsc,internet,tramit,tmpoingr,filtroen,asistllegada,enfllegada,revdesp,revunas,limp,trato2,trato1,total_a,asistsala,nutricion,lactm1,lactm2,lactm3,vacunas,limpsalida,limpsalida2,vigilante,simulacro,alrededores,seguro1,tiempo,sala,conact,actadec,comunic1,comunic5,razon,sat2,recomen,parent,sexo,escolar,Delegacion,InscritosDiciembre2014,TipoGuard
"9,253,101",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,7,55,8,2,24,5,1,1,,1,2,1,1,1,2,1,1,1,1,10,3,97,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,3,2,9,1,1,2,7,Aguascalientes,159,1
"9,253,106",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,9,21,9,27,23,5,1,1,,1,1,1,1,1,1,2,1,1,1,15,2,97,1,1,2,1,1,1,1,1,1,2,1,7,1,1,1,7,2,10,1,2,1,7,Aguascalientes,159,1
"9,253,108",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,14,26,14,33,27,5,1,3,,,,1,1,1,2,1,1,2,2,11,2,2,1,1,2,1,2,1,1,2,2,2,1,5,1,1,1,3,4,10,1,2,1,8,Aguascalientes,159,1
"10,125,084",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,7,44,7,51,32,5,2,1,,1,2,1,1,1,1,1,1,2,2,15,2,1,3,3,2,1,1,1,1,1,1,2,1,6,2,,2,5,4,9,1,2,1,8,Aguascalientes,159,1
"10,125,088",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,8,44,8,53,48,5,2,1,,1,3,1,1,1,1,1,2,1,1,15,3,1,5,97,1,3,1,1,1,1,2,2,1,1,1,1,1,1,4,10,1,3,1,5,Aguascalientes,159,1
"10,125,092",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,14,22,14,29,36,5,1,1,,1,5,1,1,1,1,1,2,2,2,5,3,1,2,4,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,9,1,2,1,9,Aguascalientes,159,1
"10,125,093",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,14,40,14,48,25,5,1,1,,1,2,1,1,2,1,1,1,1,1,12,3,1,3,3,2,1,1,1,1,2,1,2,1,3,1,1,1,3,2,10,1,2,1,9,Aguascalientes,159,1
"10,852,106",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,7,50,7,54,40,5,1,3,,,,2,,,,,1,1,1,10,3,97,5,3,1,1,1,1,1,2,2,2,1,4,2,,2,1,2,10,1,1,2,7,Aguascalientes,159,1
"10,852,107",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,8,6,8,11,38,5,2,1,,1,4,1,1,2,1,2,2,2,2,15,2,97,7,,,1,1,1,1,2,2,2,4,7,1,1,1,3,1,8,1,2,1,9,Aguascalientes,159,1
"10,852,109",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,8,33,8,40,30,5,2,3,,,,2,,,,,1,2,2,12,2,97,1,2,2,1,1,2,1,2,2,2,1,7,1,1,2,1,4,10,1,2,1,7,Aguascalientes,159,1
"8,389,082",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,8,17,8,23,33,5,2,1,,1,1,1,1,1,1,1,1,2,2,20,2,1,2,3,2,3,2,1,1,1,1,2,1,10,1,1,1,4,4,9,1,2,1,9,Aguascalientes,167,1
"8,389,090",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,22,9,15,8,2,8,9,34,5,1,1,,1,2,1,1,1,1,1,1,1,1,99,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,3,4,10,1,2,1,9,Aguascalientes,167,1
"9,253,086",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,7,33,7,39,26,5,2,1,,1,1,1,1,1,1,1,2,1,1,20,2,97,1,1,2,1,1,1,1,2,2,2,1,6,1,1,1,3,5,8,1,2,1,9,Aguascalientes,167,1
"9,253,088",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,7,53,8,1,40,5,1,1,,1,1,1,1,1,1,1,1,2,1,35,2,1,1,2,2,1,1,1,1,1,1,2,5,9,1,1,1,3,4,9,1,1,2,7,Aguascalientes,167,1
"9,253,092",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,14,16,14,22,67,5,1,99,,,,2,,,,,1,1,1,10,4,1,1,2,1,1,1,1,1,2,2,2,2,3,1,1,1,1,1,10,1,3,2,3,Aguascalientes,167,1
"9,253,096",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,22,9,15,7,9,7,14,34,5,1,1,,1,4,1,1,1,1,1,1,1,1,18,2,97,1,1,2,1,1,1,1,1,4,2,3,3,1,1,1,3,5,10,1,2,1,7,Aguascalientes,167,1
"9,253,099",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,22,9,15,7,55,8,1,30,5,1,1,,1,1,1,1,1,1,1,2,2,2,15,2,97,2,2,1,1,2,2,1,2,2,2,4,6,1,1,2,3,5,8,1,1,2,7,Aguascalientes,167,1
"10,125,071",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,7,30,7,37,33,5,2,2,1,,2,1,1,1,1,1,1,1,1,20,2,1,4,4,2,1,1,2,1,2,2,2,1,4,1,1,1,2,4,9,1,2,1,9,Aguascalientes,167,1
"10,125,074",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,8,22,8,30,33,5,1,2,1,,4,1,1,1,1,1,1,1,1,15,3,1,1,2,2,1,1,2,4,1,1,2,1,2,1,1,1,3,2,10,1,1,2,7,Aguascalientes,167,1
"10,125,079",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,15,18,15,26,30,5,1,2,1,,1,1,1,2,1,2,1,1,1,14,4,97,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,10,1,2,1,8,Aguascalientes,167,1
"10,125,080",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,22,9,15,7,24,7,29,33,5,1,3,,,,1,1,1,1,1,1,1,1,31,2,1,3,4,2,1,1,1,1,1,1,2,2,10,1,1,1,3,4,10,1,2,1,9,Aguascalientes,167,1
"10,125,082",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,22,9,15,8,8,8,17,35,5,1,2,2,,2,1,1,1,1,1,1,2,1,12,4,1,1,2,1,1,1,1,1,2,1,2,2,3,1,1,1,3,5,9,1,2,1,7,Aguascalientes,167,1
"10,852,090",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,7,18,7,25,27,5,1,3,,,,2,,,,,2,1,1,99,4,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,10,1,1,2,8,Aguascalientes,167,1
"10,852,097",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,9,9,9,15,28,5,1,3,,,,2,,,,,1,2,2,10,2,97,1,2,2,1,1,1,1,2,2,2,5,9,1,1,1,1,4,9,1,1,2,9,Aguascalientes,167,1
"10,852,100",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,15,10,15,16,29,5,1,1,,1,1,1,1,1,1,1,1,1,1,20,2,97,1,2,2,1,1,1,1,2,1,2,2,6,1,1,1,1,4,10,1,2,1,9,Aguascalientes,167,1
"10,852,104",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,22,9,15,7,47,7,51,35,5,1,1,,1,3,2,,,,,1,1,1,99,99,97,3,2,1,1,1,1,1,1,2,2,3,4,1,1,1,4,1,10,1,2,1,9,Aguascalientes,167,1
"8,389,034",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,15,4,15,11,30,5,1,1,,1,4,1,1,1,1,1,1,2,1,30,4,2,3,3,2,3,1,1,5,1,1,2,1,5,1,1,1,3,1,9,1,2,1,9,Aguascalientes,207,1
"8,389,036",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,15,47,15,52,32,5,1,1,,1,1,1,1,1,1,1,1,1,2,14,4,1,1,3,2,1,1,1,1,1,1,2,2,3,1,1,1,1,1,10,1,2,1,9,Aguascalientes,207,1
"8,389,044",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,10,9,15,8,19,8,26,34,5,1,1,,1,3,1,1,1,1,1,1,1,1,10,3,1,1,1,2,1,1,2,5,2,2,2,1,2,1,1,1,3,5,10,1,2,1,7,Aguascalientes,207,1
"9,253,040",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,15,18,15,26,24,5,1,1,,1,4,1,1,1,1,1,1,1,1,10,4,97,5,2,1,1,1,1,5,2,2,2,1,1,1,1,1,1,1,10,1,2,1,7,Aguascalientes,207,1
"9,253,046",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,10,9,15,8,2,8,7,21,4,1,1,,1,3,1,1,1,1,1,1,1,1,12,4,97,1,1,2,1,1,2,5,1,1,2,1,1,1,1,1,3,1,10,1,2,1,5,Aguascalientes,207,1
"10,125,024",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,14,24,14,32,25,5,2,2,1,,1,1,1,1,1,1,1,1,1,35,3,1,1,1,2,1,1,1,5,1,2,2,1,7,1,1,1,3,4,10,1,2,1,9,Aguascalientes,207,1
"10,125,027",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,15,28,15,36,32,5,1,1,,1,3,1,1,1,1,1,2,1,1,20,4,99,1,1,2,1,2,1,5,2,2,2,1,3,1,1,2,1,4,9,1,2,1,9,Aguascalientes,207,1
"10,125,028",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,15,55,16,4,27,5,2,1,,1,5,1,1,1,1,1,1,1,1,15,4,1,1,4,2,1,1,4,5,2,1,2,2,3,1,1,1,1,7,8,1,2,1,5,Aguascalientes,207,1
"10,125,034",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,10,9,15,8,22,8,31,36,5,1,1,,1,4,1,1,1,1,1,1,1,1,15,2,99,1,3,1,1,1,1,5,1,1,2,4,8,1,1,1,3,1,10,1,1,2,7,Aguascalientes,207,1
"10,852,032",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,13,51,13,59,31,4,1,1,,1,1,1,1,1,1,1,1,1,1,15,3,97,3,2,2,1,1,1,5,2,1,2,1,4,1,1,1,1,4,10,1,1,2,8,Aguascalientes,207,1
"10,852,033",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,9,9,15,14,32,14,40,23,5,1,1,,1,4,1,1,1,1,1,1,3,2,25,4,97,2,2,2,1,1,2,5,2,1,2,3,4,1,1,1,1,4,9,1,1,2,7,Aguascalientes,207,1
"10,852,042",1,11,"Centro de Desarrollo Infantil Garabatillos, SAdeCV",1,10,9,15,8,12,8,19,30,5,1,1,,1,3,2,,,,,1,2,2,20,2,97,7,,,1,2,2,5,2,2,2,4,7,2,,1,1,1,8,2,1,2,7,Aguascalientes,207,1
"10,125,124",1,13,"Centro de Desarrollo Infantil La Estrella, S.C.",1,28,9,15,8,26,8,33,31,5,2,1,,1,1,1,1,1,1,2,1,1,1,8,2,99,1,2,2,3,1,1,1,2,1,2,1,4,2,,2,1,7,9,2,1,2,7,Aguascalientes,84,1
"10,852,149",1,13,"Centro de Desarrollo Infantil La Estrella, S.C.",1,28,9,15,8,43,8,48,19,5,1,3,,,,2,,,,,2,2,1,5,2,97,1,1,2,1,2,2,1,2,1,2,1,1,2,,1,2,7,10,1,998,1,5,Aguascalientes,84,1
"8,389,067",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,8,16,8,21,25,5,2,2,1,,5,1,1,1,1,1,1,1,1,15,5,1,7,,,1,1,1,1,1,2,2,2,5,1,1,1,3,2,9,1,2,1,7,Aguascalientes,188,1
"9,253,068",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,7,38,7,44,31,5,1,1,,1,3,1,1,1,1,1,1,1,1,22,5,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,4,10,1,2,1,9,Aguascalientes,188,1
"9,253,070",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,7,57,8,3,25,5,1,2,2,,1,1,1,1,1,1,1,1,1,20,5,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,3,2,9,1,2,1,9,Aguascalientes,188,1
"9,253,071",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,8,12,8,21,45,5,2,1,,1,4,1,2,4,2,2,1,2,2,25,2,2,3,3,2,1,4,1,5,2,1,2,1,4,2,,2,3,1,8,2,2,1,7,Aguascalientes,188,1
"10,125,058",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,8,19,8,26,50,5,1,3,,,,1,1,1,1,2,1,1,1,99,2,1,3,4,2,1,1,2,2,2,1,2,3,4,1,1,1,2,1,9,1,1,2,9,Aguascalientes,188,1
"10,125,059",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,8,29,8,37,30,5,1,2,1,,1,1,1,1,1,1,2,1,1,17,4,1,5,2,1,1,1,2,1,2,2,2,1,1,1,1,1,4,1,9,1,2,1,9,Aguascalientes,188,1
"10,125,064",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,18,9,15,7,18,7,26,25,5,3,2,1,,1,1,2,2,1,1,2,2,2,99,1,1,1,2,1,1,4,1,1,2,4,2,3,3,1,1,1,2,10,7,2,1,2,8,Aguascalientes,188,1
"10,852,070",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,7,32,7,39,34,5,2,2,1,,4,1,1,1,1,1,1,1,1,30,2,1,3,3,2,1,1,1,1,2,1,2,1,4,1,1,1,4,2,10,1,2,1,7,Aguascalientes,188,1
"10,852,074",1,14,"C. de Desarrollo Infantil Jugando Aprendemos, S.C.",1,17,9,15,8,22,8,30,28,5,1,2,1,,2,1,1,1,1,1,1,1,1,20,3,97,1,2,2,1,1,1,2,1,2,2,1,6,1,1,1,1,2,10,1,2,1,7,Aguascalientes,188,1
"8,389,123",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,13,27,13,33,35,4,1,2,1,,3,2,,,,,1,2,2,6,2,1,5,3,1,1,1,1,1,1,2,2,1,1,1,1,1,3,2,9,1,2,1,9,Aguascalientes,114,1
"9,253,136",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,13,46,13,54,60,5,2,1,,1,4,2,,,,,2,1,2,15,3,1,1,2,2,1,2,1,1,1,1,2,1,6,2,,1,1,5,10,1,3,1,7,Aguascalientes,114,1
"9,253,137",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,14,23,14,29,40,5,1,2,1,,5,2,,,,,1,1,1,18,4,97,1,2,2,1,1,1,1,2,1,2,3,6,1,1,2,3,4,10,1,2,1,9,Aguascalientes,114,1
"10,125,117",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,13,43,13,51,29,5,1,1,,1,2,1,1,1,1,1,1,1,1,12,3,99,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,5,4,10,1,2,1,9,Aguascalientes,114,1
"10,852,136",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,8,15,8,22,62,5,2,3,,,,1,1,1,1,1,1,1,1,99,2,97,5,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,10,1,3,1,5,Aguascalientes,114,1
"10,852,138",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,8,39,8,44,29,5,1,1,,1,5,1,1,1,1,1,1,1,1,20,6,1,5,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,10,1,2,1,9,Aguascalientes,114,1
"10,852,139",1,17,"Guarderia Rotaria, A.C.",1,25,9,15,13,46,13,53,57,5,2,3,,,,2,,,,,2,2,2,99,99,1,1,1,2,1,1,2,1,1,1,2,3,5,2,,2,4,5,9,1,3,1,5,Aguascalientes,114,1
"8,389,110",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,9,5,9,10,36,5,1,2,1,,2,1,1,1,1,1,1,1,1,15,4,1,5,97,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,10,1,2,1,9,Aguascalientes,153,1
"8,389,114",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,14,33,14,38,20,5,1,2,1,,5,1,1,1,1,1,1,2,2,10,4,1,3,3,2,1,1,1,1,2,1,2,1,3,2,,2,1,1,10,1,2,1,7,Aguascalientes,153,1
"9,253,115",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,7,46,7,53,29,5,1,1,,1,1,1,1,1,1,1,1,1,1,15,2,1,1,1,2,1,1,1,1,1,1,2,3,3,1,1,1,6,5,10,1,2,1,6,Aguascalientes,153,1
"9,253,116",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,7,8,14,40,5,1,1,,1,2,1,1,2,2,1,1,2,1,20,2,97,2,4,2,1,1,2,1,2,2,2,2,8,1,1,1,3,5,10,1,2,1,7,Aguascalientes,153,1
"9,253,120",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,41,8,50,29,5,2,1,,2,3,1,1,1,4,1,1,2,1,15,3,1,1,1,1,1,1,1,1,2,1,2,3,4,1,1,1,3,2,9,1,1,2,7,Aguascalientes,153,1
"9,253,121",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,57,9,4,30,5,1,2,1,,3,1,1,1,4,1,1,1,1,13,4,97,5,2,1,1,1,1,1,1,4,2,1,1,1,1,2,3,1,9,1,2,1,9,Aguascalientes,153,1
"9,253,123",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,14,12,14,19,35,5,4,2,1,,3,1,1,4,5,1,2,5,2,30,2,97,1,2,2,1,1,2,1,1,4,1,1,5,2,,2,3,1,5,4,2,1,9,Aguascalientes,153,1
"9,253,124",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,14,26,14,30,19,2,1,1,,1,2,2,,,,,2,4,2,20,3,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,3,2,8,2,2,1,5,Aguascalientes,153,1
"10,125,098",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,7,37,7,44,27,5,1,2,1,,3,1,1,1,1,1,1,1,1,20,5,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,3,5,10,1,2,1,9,Aguascalientes,153,1
"10,125,101",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,18,8,24,28,4,2,2,2,,4,1,1,1,1,2,1,2,2,7,99,97,1,3,2,3,1,2,1,2,1,2,1,3,1,1,1,1,1,9,1,1,2,6,Aguascalientes,153,1
"10,125,104",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,45,8,53,30,5,1,1,,1,4,1,1,1,1,1,1,1,2,99,2,1,4,4,1,1,1,1,1,1,1,2,2,5,1,1,1,3,4,9,1,1,2,9,Aguascalientes,153,1
"10,125,105",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,9,6,9,15,42,5,2,1,,1,1,1,1,1,1,1,1,2,2,99,4,97,5,1,1,1,1,1,1,2,1,2,1,1,2,,2,1,1,9,1,1,2,7,Aguascalientes,153,1
"10,125,108",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,14,34,14,42,28,5,1,2,1,,2,1,1,1,1,1,1,1,1,12,4,1,1,2,2,1,1,1,2,1,2,2,3,3,1,1,1,1,2,10,1,2,1,9,Aguascalientes,153,1
"10,852,119",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,7,38,7,45,35,5,1,2,1,,3,1,1,1,1,1,2,1,1,15,4,2,5,2,1,1,1,2,1,1,1,2,1,1,1,1,1,4,4,9,1,2,1,9,Aguascalientes,153,1
"10,852,121",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,8,8,15,34,5,1,1,,1,1,1,1,1,1,1,1,1,1,99,3,97,3,2,2,1,1,1,1,1,1,2,4,7,1,1,1,1,2,10,1,2,1,7,Aguascalientes,153,1
"10,852,123",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,8,34,8,41,28,5,1,1,,1,1,1,1,1,1,1,1,1,1,15,3,97,1,3,2,1,1,1,1,2,1,2,5,8,1,1,1,2,5,10,1,2,1,7,Aguascalientes,153,1
"10,852,127",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,14,22,14,29,35,5,1,2,1,,1,1,1,1,1,1,1,1,1,10,4,97,3,3,2,1,1,1,1,1,1,2,1,4,1,1,1,4,1,10,1,2,1,9,Aguascalientes,153,1
"10,852,129",1,20,"Centro de Desarrollo Infantil Ternura, S.C.",1,24,9,15,14,46,14,54,34,4,1,1,,1,1,1,1,1,1,1,1,1,1,99,3,97,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,4,2,10,1,2,1,9,Aguascalientes,153,1
"8,389,048",1,23,Instituto El Mundo de los Ninos,1,11,9,15,8,18,8,23,36,5,1,1,,1,2,1,1,1,1,1,1,2,2,99,99,1,2,4,2,1,1,1,1,2,2,2,3,8,2,,2,1,1,9,1,2,1,6,Aguascalientes,213,1
"8,389,056",1,23,Instituto El Mundo de los Ninos,1,11,9,15,17,28,17,38,37,5,2,1,,1,1,1,1,1,1,1,1,1,2,18,2,1,1,3,2,1,2,1,5,2,2,2,1,8,1,1,1,1,1,8,2,2,1,9,Aguascalientes,213,1
"8,389,060",1,23,Instituto El Mundo de los Ninos,1,14,9,15,8,14,8,18,23,5,1,1,,2,1,1,1,1,1,1,1,1,1,99,2,1,1,1,2,1,1,1,1,2,1,2,1,5,1,1,1,6,1,9,1,2,1,6,Aguascalientes,213,1
"8,389,061",1,23,Instituto El Mundo de los Ninos,1,14,9,15,8,35,8,41,29,4,2,2,1,,1,1,1,1,1,1,2,2,2,99,99,1,1,1,2,1,2,2,1,2,2,2,4,5,2,,1,3,10,8,1,2,1,9,Aguascalientes,213,1
"9,253,052",1,23,Instituto El Mundo de los Ninos,1,11,9,15,8,12,8,17,28,5,2,1,,1,2,1,1,4,1,1,2,2,2,15,2,97,3,3,1,1,2,2,1,2,2,2,2,2,2,,2,3,1,8,2,2,1,9,Aguascalientes,213,1
"9,253,054",1,23,Instituto El Mundo de los Ninos,1,11,9,15,8,37,8,43,36,5,2,1,,1,2,1,1,1,1,1,1,1,2,20,4,97,3,2,1,1,1,1,1,1,4,2,2,2,1,1,1,3,4,10,1,2,1,5,Aguascalientes,213,1
"9,253,062",1,23,Instituto El Mundo de los Ninos,1,14,9,15,7,31,7,37,30,5,1,1,,1,1,1,1,2,1,1,1,1,1,16,4,97,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,1,9,1,2,1,9,Aguascalientes,213,1
"9,253,064",1,23,Instituto El Mundo de los Ninos,1,14,9,15,8,25,8,34,31,5,1,1,,1,2,1,1,2,1,2,1,1,1,20,3,97,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,3,1,9,1,2,1,9,Aguascalientes,213,1
"9,253,065",1,23,Instituto El Mundo de los Ninos,1,14,9,15,8,55,9,5,24,5,1,1,,1,1,1,1,1,1,1,1,3,1,20,6,1,3,2,1,1,1,1,1,2,3,2,1,2,1,1,1,3,1,10,1,1,2,7,Aguascalientes,213,1
"10,125,038",1,23,Instituto El Mundo de los Ninos,1,11,9,15,8,20,8,28,44,5,2,1,,1,1,1,1,1,1,1,1,1,2,23,5,1,1,3,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,9,1,4,2,7,Aguascalientes,213,1
"10,125,041",1,23,Instituto El Mundo de los Ninos,1,11,9,15,8,56,9,5,46,4,1,1,,1,2,2,,,,,1,1,1,10,2,1,5,1,1,1,1,1,2,1,4,2,2,2,1,1,2,1,1,10,1,3,1,7,Aguascalientes,213,1
"10,125,050",1,23,Instituto El Mundo de los Ninos,1,14,9,15,7,49,7,59,37,5,2,1,,1,3,1,1,1,1,1,2,2,2,35,4,1,3,3,2,1,1,2,1,2,2,2,1,6,1,1,2,1,2,8,1,2,1,6,Aguascalientes,213,1
"10,125,053",1,23,Instituto El Mundo de los Ninos,1,14,9,15,9,12,9,22,37,5,1,1,,1,2,1,1,2,1,1,1,1,1,99,2,1,3,4,2,1,1,2,1,2,2,2,3,6,2,,1,3,2,9,1,1,2,9,Aguascalientes,213,1
"10,852,046",1,23,Instituto El Mundo de los Ninos,1,11,9,15,7,27,7,34,29,5,2,1,,1,1,1,1,1,1,1,1,2,2,19,99,97,1,2,2,1,2,1,2,2,2,2,2,4,1,1,1,1,2,9,1,2,1,9,Aguascalientes,213,1
"10,852,048",1,23,Instituto El Mundo de los Ninos,1,11,9,15,8,9,8,15,42,5,3,1,,1,4,1,2,2,2,2,2,2,2,99,99,2,3,2,2,1,2,3,1,2,2,2,2,6,1,1,1,1,1,6,2,2,1,5,Aguascalientes,213,1
"10,852,052",1,23,Instituto El Mundo de los Ninos,1,11,9,15,9,3,9,11,56,5,3,1,,1,5,1,1,1,1,1,99,3,99,30,2,97,7,,,1,2,2,1,2,2,2,1,6,2,,1,1,1,7,2,3,1,5,Aguascalientes,213,1
"10,852,056",1,23,Instituto El Mundo de los Ninos,1,11,9,15,15,39,15,45,33,5,1,3,,,,2,,,,,1,2,1,20,3,97,1,2,2,1,1,1,1,2,2,2,1,7,1,1,2,1,4,9,2,2,1,7,Aguascalientes,213,1
"10,852,060",1,23,Instituto El Mundo de los Ninos,1,11,9,15,17,12,17,22,29,5,2,1,,1,1,2,,,,,2,2,1,15,2,2,3,3,1,1,1,2,2,2,2,2,2,2,1,1,1,5,1,8,2,2,1,8,Aguascalientes,213,1
"10,852,063",1,23,Instituto El Mundo de los Ninos,1,14,9,15,7,18,7,26,25,5,2,1,,1,4,1,1,1,1,1,2,2,4,30,4,97,3,2,2,1,2,1,1,2,2,2,2,7,2,,2,1,1,7,4,2,1,7,Aguascalientes,213,1
"10,852,066",1,23,Instituto El Mundo de los Ninos,1,14,9,15,8,25,8,33,51,5,2,1,,1,4,2,,,,,1,1,2,99,3,2,1,2,2,1,3,3,1,2,2,2,1,7,1,1,2,1,1,10,2,3,1,5,Aguascalientes,213,1
"8,389,014",1,1,Guarderia Ordinaria G - 0001 AGUASCALIENTES,2,7,9,15,15,50,15,56,25,5,1,1,,2,5,1,1,1,1,1,2,2,2,30,2,99,2,2,2,1,1,2,1,2,1,2,4,6,1,1,1,4,1,9,1,2,1,9,Aguascalientes,337,2
"9,253,022",1,1,Guarderia Ordinaria G - 0001 AGUASCALIENTES,2,7,9,15,16,56,17,5,45,3,2,1,,1,1,2,,,,,2,2,2,40,4,1,1,2,99,1,2,2,2,1,1,2,5,7,2,,1,7,5,8,1,4,1,7,Aguascalientes,337,2
"9,253,023",1,1,Guarderia Ordinaria G - 0001 AGUASCALIENTES,2,8,9,15,7,3,7,11,39,5,1,1,,1,1,1,2,1,1,2,1,1,1,10,2,1,1,1,2,1,1,1,1,1,4,2,2,2,2,,2,1,2,10,1,2,1,5,Aguascalientes,337,2
"10,852,002",1,1,Guarderia Ordinaria G - 0001 AGUASCALIENTES,2,7,9,15,7,21,7,32,33,5,2,1,,1,2,1,1,4,1,1,1,2,1,99,3,1,1,2,2,1,1,2,1,2,1,1,3,6,1,1,1,3,2,9,1,2,1,5,Aguascalientes,337,2
